Wall time,Step,Value
1748227071.3392832,0,0.30300000309944153
1748227751.9584816,0,0.30300000309944153
1748227801.6941183,1,0.4000000059604645
1748227853.376766,2,0.4410000145435333
1748227906.2612712,3,0.42800000309944153
1748227959.5143752,4,0.3709999918937683
1748228013.5056746,5,0.460999995470047
1748228066.8747246,6,0.46700000762939453
1748228120.7183726,7,0.48899999260902405
1748228174.4263816,8,0.5009999871253967
1748228228.2955306,9,0.4399999976158142
1748228281.6715333,10,0.5830000042915344
1748228334.9234002,11,0.5149999856948853
1748228388.6795907,12,0.5249999761581421
1748228442.0958676,13,0.48500001430511475
1748228495.5403936,14,0.6200000047683716
1748228549.6494517,15,0.6290000081062317
1748228603.1417384,16,0.503000020980835
1748228656.374826,17,0.5879999995231628
1748228709.9275568,18,0.5479999780654907
1748228763.6860979,19,0.6159999966621399
1748228816.9563823,20,0.6449999809265137
1748228870.147133,21,0.5109999775886536
1748228923.2026358,22,0.5730000138282776
1748228976.798055,23,0.6259999871253967
1748229030.2469163,24,0.6710000038146973
1748229084.3806813,25,0.625
1748229137.544175,26,0.6880000233650208
1748229191.1617362,27,0.6159999966621399
1748229244.7409055,28,0.652999997138977
1748229297.882329,29,0.6340000033378601
1748229351.325206,30,0.6700000166893005
1748229405.0869465,31,0.6309999823570251
1748229458.3572638,32,0.7009999752044678
1748229511.7975254,33,0.640999972820282
1748229565.2078369,34,0.6430000066757202
1748229618.398107,35,0.7049999833106995
1748229671.79397,36,0.6639999747276306
1748229725.2581432,37,0.6949999928474426
1748229778.5077925,38,0.7059999704360962
1748229832.141829,39,0.6850000023841858
1748229886.2765307,40,0.718999981880188
1748229940.3365066,41,0.7310000061988831
1748229993.8049335,42,0.6840000152587891
1748230047.199628,43,0.7049999833106995
1748230100.894099,44,0.7039999961853027
1748230154.1214187,45,0.718999981880188
1748230206.3217292,46,0.6930000185966492
1748230259.3872874,47,0.7179999947547913
1748230312.8512547,48,0.7289999723434448
1748230366.211127,49,0.6919999718666077
